_id,Year,Sex,Rank,Name,Count,
3104,2022,Female,1,OLIVIA,2189,
3105,2022,Female,2,EMMA,2090,
3106,2022,Female,3,CAMILA,2052,
3107,2022,Female,4,MIA,1888,
3108,2022,Female,5,SOPHIA,1774,
3109,2022,Female,6,ISABELLA,1740,
3110,2022,Female,7,LUNA,1523,
3111,2022,Female,8,SOFIA,1311,
3112,2022,Female,9,AMELIA,1297,
3113,2022,Female,10,GIANNA,1113,
3114,2022,Female,11,EMILY,1110,
3115,2022,Female,12,MILA,1078,
3116,2022,Female,13,CHARLOTTE,1070,
3117,2022,Female,14,AVA,1028,
3118,2022,Female,15,PENELOPE,1003,
3119,2022,Female,16,ARIA,1001,
3120,2022,Female,17,EVELYN,988,
3121,2022,Female,18,VICTORIA,879,
3122,2022,Female,19,SCARLETT,875,
3123,2022,Female,20,NATALIA,874,
3124,2022,Female,21,ABIGAIL,839,
3125,2022,Female,22,ZOE,801,
3126,2022,Female,23,VIOLET,787,
3127,2022,Female,24,CHLOE,768,
3128,2022,Female,24,ELIANA,768,
3129,2022,Male,1,LIAM,2616,
3130,2022,Male,2,NOAH,2518,
3131,2022,Male,3,MATEO,2389,
3132,2022,Male,4,SEBASTIAN,2102,
3133,2022,Male,5,OLIVER,1633,
3134,2022,Male,6,JULIAN,1628,
3135,2022,Male,7,SANTIAGO,1551,
3136,2022,Male,8,BENJAMIN,1530,
3137,2022,Male,9,ELIJAH,1451,
3138,2022,Male,10,EZEKIEL,1403,
3139,2022,Male,11,ALEXANDER,1398,
3140,2022,Male,12,DANIEL,1396,
3141,2022,Male,13,ETHAN,1351,
3142,2022,Male,14,LUCAS,1295,
3143,2022,Male,15,EZRA,1252,
3144,2022,Male,16,LUCA,1230,
3145,2022,Male,17,LEVI,1203,
3146,2022,Male,18,LEO,1185,
3147,2022,Male,19,ANGEL,1170,
3148,2022,Male,20,AIDEN,1161,
3149,2022,Male,21,JAMES,1097,
3150,2022,Male,22,JAYDEN,1096,
3151,2022,Male,23,MATTHEW,1093,
3152,2022,Male,24,DYLAN,1072,
3153,2022,Male,25,ELIAS,1069,
3054,2021,Female,1,OLIVIA,2411,
3055,2021,Female,2,EMMA,2182,
3056,2021,Female,3,CAMILA,2076,
3057,2021,Female,4,MIA,2039,
3058,2021,Female,5,SOPHIA,1821,
3059,2021,Female,6,ISABELLA,1662,
3060,2021,Female,7,LUNA,1466,
3061,2021,Female,8,AMELIA,1375,
3062,2021,Female,9,SOFIA,1316,
