_id,Year,Sex,Rank,Name,Count,Data_Revision_Date
1,1960,Female,1,SUSAN,3299,10/04/2023
2,1960,Female,2,MARY,3248,10/04/2023
3,1960,Female,3,KAREN,3156,10/04/2023
4,1960,Female,4,CYNTHIA,2982,10/04/2023
5,1960,Female,5,LISA,2839,10/04/2023
6,1960,Female,6,LINDA,2807,10/04/2023
7,1960,Female,7,DEBRA,2692,10/04/2023
8,1960,Female,8,PATRICIA*,2668,10/04/2023
9,1960,Female,9,DEBORAH,2490,10/04/2023
10,1960,Female,10,SANDRA,2404,10/04/2023
11,1960,Female,11,LAURA,2032,10/04/2023
12,1960,Female,12,ELIZABET*,1905,10/04/2023
13,1960,Female,13,PAMELA,1839,10/04/2023
14,1960,Female,14,DONNA,1820,10/04/2023
15,1960,Female,15,KATHLEEN*,1772,10/04/2023
16,1960,Female,16,LORI,1746,10/04/2023
17,1960,Female,17,KIMBERLY*,1710,10/04/2023
18,1960,Female,18,TERESA,1709,10/04/2023
19,1960,Female,19,JULIE,1665,10/04/2023
20,1960,Female,20,CHERYL,1639,10/04/2023
21,1960,Female,21,BARBARA,1605,10/04/2023
22,1960,Female,22,NANCY,1569,10/04/2023
23,1960,Female,23,DENISE,1501,10/04/2023
24,1960,Female,24,CHRISTIN*,1410,10/04/2023
25,1960,Female,25,CAROL,1322,10/04/2023
26,1960,Male,1,MICHAEL,8770,10/04/2023
27,1960,Male,2,DAVID,8033,10/04/2023
28,1960,Male,3,ROBERT,6798,10/04/2023
29,1960,Male,4,JOHN,6308,10/04/2023
30,1960,Male,5,JAMES,5900,10/04/2023
31,1960,Male,6,MARK,5389,10/04/2023
32,1960,Male,7,RICHARD,4436,10/04/2023
33,1960,Male,8,STEVEN,4310,10/04/2023
34,1960,Male,9,WILLIAM,3943,10/04/2023
35,1960,Male,10,DANIEL,3081,10/04/2023
36,1960,Male,11,THOMAS,2978,10/04/2023
37,1960,Male,12,JEFFREY,2940,10/04/2023
38,1960,Male,13,TIMOTHY,2695,10/04/2023
39,1960,Male,14,KENNETH,2563,10/04/2023
40,1960,Male,15,RONALD,2477,10/04/2023
41,1960,Male,16,KEVIN,2325,10/04/2023
42,1960,Male,17,GREGORY,2266,10/04/2023
43,1960,Male,18,JOSEPH,2178,10/04/2023
44,1960,Male,19,CHARLES,2172,10/04/2023
45,1960,Male,20,DONALD,2162,10/04/2023
46,1960,Male,21,PAUL,2136,10/04/2023
47,1960,Male,22,BRIAN,1968,10/04/2023
